gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1020587399	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011430B00436a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9685	78.2145		0.01667					2011-12-19	19	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011430B00436a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.734Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587398	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011460A00176a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9937	78.2737		0.01667					2011-12-20	20	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011460A00176a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.731Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587397	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420A00116a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-21	21	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420A00116a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.727Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587396	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011424A00259a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9827	78.2244		0.01667					2011-12-18	18	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011424A00259a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.695Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587395	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011700A00256a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0834	78.3061		0.01667					2011-12-18	18	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011700A00256a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.671Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587394	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420B00065a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-16	16	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420B00065a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.649Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587393	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011474A00314a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0007	78.26		0.01667					2011-12-25	25	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011474A00314a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.646Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587392	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420B00118a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-22	22	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420B00118a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.643Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587391	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011321B00178a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9554	78.2965		0.01667					2011-02-17	17	2	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011321B00178a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.641Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587390	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650B00204a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-23	23	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650B00204a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.640Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587389	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420A00084a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-17	17	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420A00084a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.638Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587388	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011410A00179a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9685	78.2448		0.01667					2011-02-18	18	2	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011410A00179a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.636Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587387	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650A00171a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-22	22	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650A00171a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.634Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587386	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011411A00136a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9707	78.262		0.01667					2011-12-20	20	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011411A00136a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.616Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587385	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011600A00049a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0503	78.3091		0.01667					2011-12-15	15	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011600A00049a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.590Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587384	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420B00154a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-26	26	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420B00154a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.564Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587383	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011346B00567a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9592	78.2563		0.01667					2011-12-21	21	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011346B00567a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.559Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587382	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011420B00089a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9702	78.2303		0.01667					2011-12-18	18	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011420B00089a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.265Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587381	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011346B00060a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9592	78.2563		0.01667					2011-12-10	10	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011346B00060a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.263Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID
1020587380	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011346B00439a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9592	78.2563		0.01667					2011-12-16	16	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011346B00439a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.260Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
